oem,oem_norm,hr_raw,hr_code,matched
274008,274008,HR7919,HR 7919,1
27431031,27431031,HR46284,HR 46284,1
2746001,2746001,HR2080/10,HR 2080/10,1
2750657,2750657,HR48666,HR 48666,0
27-5360-000,275360000,HR7385,HR 7385,1
275776,275776,HR7503,HR 7503,1
276-010007,276010007,HR7113,HR 7113,1
276-010873,276010873,HR6041,HR 6041,1
276-010873.050,276010873050,HR6041,HR 6041,1
276-011842,276011842,HR6042,HR 6042,1
276-011842.050,276011842050,HR6042,HR 6042,1
276-013772,276013772,HR7068,HR 7068,1
276-014356,276014356,HR7114,HR 7114,1
276014419,276014419,HR6022,HR 6022,1
276-014419,276014419,HR6063,HR 6063,1
276-014449,276014449,HR7113,HR 7113,1
276-016339,276016339,HR6100,HR 6100,1
276-016399,276016399,HR6100,HR 6100,1
276-016873,276016873,HR7114,HR 7114,1
276-017164,276017164,HR6100,HR 6100,1
276-017479,276017479,HR6242,HR 6242,1
276-019983,276019983,HR6488,HR 6488,1
276-023088,276023088,HR8654,HR 8654,1
276-023665,276023665,HR6600,HR 6600,1
276-025923,276025923,HR7378,HR 7378,1
276-026526,276026526,HR6597,HR 6597,1
276-026526.051,276026526051,HR6597,HR 6597,1
276-027373,276027373,HR8470,HR 8470,1
276-029750,276029750,HR8743,HR 8743,1
276-10007,27610007,HR7113,HR 7113,1
276-10873,27610873,HR6041,HR 6041,1
276-10873.050,27610873050,HR6041,HR 6041,1
276-11842,27611842,HR6042,HR 6042,1
276-11842.050,27611842050,HR6042,HR 6042,1
276-11895,27611895,HR7113,HR 7113,1
276-11895.050,27611895050,HR7113,HR 7113,1
276-1273,2761273,HR6100,HR 6100,1
276-13268,27613268,HR6169,HR 6169,1
276-13380,27613380,HR7203,HR 7203,1
276-13380.050,27613380050,HR7203,HR 7203,1
276-13671,27613671,HR3571,HR 3571,1
276-13772,27613772,HR6063,HR 6063,1
276-1419,2761419,HR7068,HR 7068,1
276-14356,27614356,HR7114,HR 7114,1
276-14418,27614418,HR6022,HR 6022,1
276-14419,27614419,HR6063,HR 6063,1
276-14449,27614449,HR7113,HR 7113,1
276-15399,27615399,HR6100,HR 6100,1
276-16201,27616201,HR7130,HR 7130,1
276-16339,27616339,HR6100,HR 6100,1
276-16399,27616399,HR6100,HR 6100,1
276-16873,27616873,HR7114,HR 7114,1
276-17164,27617164,HR7130,HR 7130,1
276-17395,27617395,HR6203,HR 6203,1
276-17479,27617479,HR6242,HR 6242,1
276-17935,27617935,HR6203,HR 6203,1
276-179350,276179350,HR6203,HR 6203,1
276-18872,27618872,HR6603,HR 6603,1
276-18872.050,27618872050,HR6603,HR 6603,1
276-19813,27619813,HR6100,HR 6100,1
276-19981,27619981,HR6728,HR 6728,1
