oem,oem_norm,fbt
057.934-TR1,057934TR1,FBT41028
058.013-EL1,058013EL1,FBT40662
058.013-EL3,058013EL3,FBT40856
058.013-EL6,058013EL6,FBT41106
058.013-EL7,058013EL7,FBT41106
058.013-TR1,058013TR1,FBT40662
058.013-TR4,058013TR4,FBT40807
058.013-TR6,058013TR6,FBT41106
058.013-TR7,058013TR7,FBT41106
058.013-TR8,058013TR8,FBT41106
058.019-A8,058019A8,FBT41106
058.135-EL1,058135EL1,FBT41047
058.135-EL2,058135EL2,FBT41252
058.135-TR1,058135TR1,FBT41047
058.135-TR2,058135TR2,FBT41252
058.138-TR1,058138TR1,FBT41103
058.141-EL2,058141EL2,FBT40516
058.141-TR1,058141TR1,FBT40516
058.231-TR1,058231TR1,FBT41115
058.231-TR2,058231TR2,FBT41345
058.234-TR1,058234TR1,FBT40979
058.234-TR3,058234TR3,FBT40979
058.234-TR4,058234TR4,FBT40964
058.234-TR5,058234TR5,FBT40979
058.235R-T6,058235RT6,FBT41382
058.235R-T7,058235RT7,FBT41383
058.235-TR1,058235TR1,FBT41026
058.235-TR3,058235TR3,FBT41056
058.235-TR4,058235TR4,FBT41114
058.235-TR6,058235TR6,FBT41382
058.235-TR7,058235TR7,FBT41383
058.331-TR1,058331TR1,FBT41123
058.335-TR2,058335TR2,FBT41131
058.335-TR3,058335TR3,FBT41131
058.341-TR1,058341TR1,FBT40657
058.341-TR2,058341TR2,FBT40658
058.413-EL1,058413EL1,FBT40669
058.413-EL4,058413EL4,FBT40983
058.413R-T5,058413RT5,FBT41041
058.413-TR1,058413TR1,FBT40669
058.413-TR4,058413TR4,FBT40983
058.413-TR5,058413TR5,FBT41041
058.421-TR1,058421TR1,FBT40517
058.423-EL1,058423EL1,FBT40668
058.423-EL2,058423EL2,FBT40984
058.423-TR1,058423TR1,FBT40668
058.423-TR2,058423TR2,FBT41105
058.423-TR3,058423TR3,FBT41057
058.423-TR4,058423TR4,FBT41057
058.532-TR1,058532TR1,FBT41107
058.533R-T4,058533RT4,FBT41108
058.533R-T5,058533RT5,FBT41333
058.533-TR1,058533TR1,FBT41024
058.533-TR4,058533TR4,FBT41108
058.533-TR5,058533TR5,FBT41333
058.534-TR1,058534TR1,FBT40718
058.534-TR2,058534TR2,FBT40719
058.541-TR1,058541TR1,FBT40515
058.735-EL1,058735EL1,FBT41054
058.735R-T3,058735RT3,FBT41313
058.735-TR1,058735TR1,FBT41054
058.735-TR2,058735TR2,FBT41248
058.735-TR3,058735TR3,FBT41313
